Date,All,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia,Other
22/3/12,78,0,41,0,2,0,0,9,26,0
23/3/12,99,0,14,15,10,0,0,4,56,0
28/11/13,372,0,30,28,241,24,0,0,49,0
31/12/01,569,0,293,80,12,6,0,0,178,0
29/11/13,208,0,1,10,111,27,0,0,59,0
30/12/01,675,0,53,37,312,1,0,0,272,0
24/10/05,426,0,15,102,200,0,0,1,108,0
9/5/16,81,0,0,2,14,1,0,0,64,0
26/10/05,485,0,17,115,150,0,0,0,203,0
27/10/05,666,0,23,174,325,2,0,1,141,0
20/10/05,461,0,0,123,268,1,0,0,69,0
21/10/05,440,0,1,249,100,0,0,0,90,0
22/10/05,481,0,12,70,342,0,0,0,56,1
23/10/05,643,0,6,223,329,2,0,0,83,0
1/5/16,323,0,26,91,7,1,0,3,195,0
2/5/16,153,0,24,3,19,4,0,8,95,0
3/5/16,305,0,81,6,8,0,0,11,199,0
4/5/16,379,1,134,49,34,2,0,11,148,0
5/5/16,574,2,335,25,25,61,0,48,78,0
6/5/16,692,0,320,73,36,135,0,90,38,0
7/5/16,190,1,104,5,28,2,0,47,3,0
24/11/13,154,0,9,8,69,11,0,1,56,0
25/11/13,360,0,15,6,245,9,0,6,79,0
7/4/12,679,0,45,36,31,2,0,12,553,0
6/4/12,592,0,40,112,9,7,0,31,393,0
5/4/12,661,1,204,69,6,33,8,137,203,0
4/4/12,848,0,123,63,12,105,41,134,370,0
3/4/12,528,0,151,26,49,52,11,112,127,0
2/4/12,351,0,45,24,18,20,1,38,205,0
1/4/12,222,0,24,20,25,1,6,36,110,0
24/12/14,220,0,0,19,174,0,0,0,27,0
25/12/14,267,0,3,0,201,0,1,7,53,2
26/12/14,144,0,14,0,100,0,1,3,26,0
27/12/14,264,0,0,5,225,0,0,8,26,0
20/12/14,467,0,12,26,277,0,0,10,142,0
21/12/14,309,0,8,47,161,2,0,0,91,0
9/4/12,556,0,32,37,26,0,0,0,461,0
8/4/12,363,0,3,33,17,0,0,2,308,0
24/1/09,20,0,0,0,0,0,3,0,17,0
30/9/15,1046,0,35,201,354,0,0,0,456,0
25/1/09,31,0,4,0,2,1,7,0,17,0
30/9/02,2439,0,170,1128,668,1,1,2,469,0
28/7/12,765,0,12,288,216,0,0,0,249,0
29/7/12,1044,0,3,607,156,0,0,0,278,0
20/7/12,944,0,5,790,50,1,0,2,96,0
21/7/12,580,0,6,358,88,0,0,0,128,0
22/7/12,987,0,4,677,158,0,1,0,147,0
23/7/12,666,0,7,407,83,0,0,0,169,0
24/7/12,622,0,8,377,131,0,0,0,106,0
25/7/12,382,0,6,202,57,1,0,0,116,0
26/7/12,444,0,16,199,127,0,0,0,102,0
27/7/12,780,0,10,516,99,0,0,1,154,0
30/4/06,133,0,3,0,2,3,0,0,125,0
9/10/12,2223,0,64,719,746,2,0,0,692,0
31/7/03,470,0,40,168,77,0,0,0,185,0
30/7/03,494,0,23,224,74,1,0,0,172,0
19/9/10,281,0,8,186,7,0,0,0,80,0
2/10/12,2031,0,42,835,391,3,0,1,759,0
2/2/07,170,0,6,11,23,1,0,1,128,0
11/9/10,320,0,20,80,177,0,0,0,43,0
10/9/10,127,0,4,57,52,0,0,0,14,0
13/9/10,354,0,2,142,170,0,0,0,40,0
12/9/10,238,0,6,101,111,0,0,0,20,0
15/9/10,289,0,3,67,189,0,3,0,27,0
14/9/10,382,0,5,31,326,1,7,1,11,0
17/9/10,334,0,11,204,39,0,1,1,78,0
16/9/10,456,0,8,67,371,0,1,0,9,0
4/1/16,48,0,0,13,6,0,2,0,27,0
5/1/16,133,0,2,18,46,0,0,0,67,0
6/1/16,472,0,4,19,175,0,0,0,274,0
7/1/16,460,0,12,18,118,2,0,1,309,0
17/6/08,144,0,34,34,43,0,3,4,26,0
1/1/16,84,0,1,5,53,0,0,0,25,0
2/1/16,123,0,2,28,18,0,29,0,46,0
3/1/16,184,0,0,111,2,0,5,1,65,0
7/2/07,130,6,41,0,33,0,0,0,50,0
19/6/08,225,0,1,159,12,1,0,0,52,0
18/6/08,104,0,8,64,15,1,1,2,13,0
8/1/16,445,0,19,13,115,13,0,1,284,0
9/1/16,402,0,11,47,61,4,3,1,275,0
7/10/12,2052,0,72,611,511,0,0,0,858,0
16/1/08,401,0,2,27,10,1,35,1,325,0
17/1/08,310,0,4,9,28,0,4,1,264,0
14/1/08,337,0,4,7,13,0,17,0,296,0
15/1/08,173,0,7,15,0,0,3,2,146,0
12/1/08,336,0,10,4,5,0,13,2,302,0
13/1/08,348,0,3,17,15,0,24,1,288,0
10/1/08,549,0,2,15,0,6,1,18,507,0
11/1/08,438,0,8,40,1,0,22,4,363,0
5/10/12,1778,0,134,687,416,11,1,0,529,0
18/1/08,339,0,0,29,21,0,0,0,289,0
19/1/08,154,0,0,21,7,0,0,0,126,0
19/1/05,275,0,15,108,48,0,0,0,104,0
18/1/05,510,0,20,23,80,2,0,0,385,0
17/1/05,372,0,11,63,83,0,0,4,211,0
16/1/05,323,0,9,40,59,0,0,0,215,0
15/1/05,256,0,19,46,127,0,0,0,64,0
14/1/05,233,0,33,9,165,0,0,2,24,0
13/1/05,345,0,39,24,166,3,0,33,80,0
12/1/05,310,0,41,5,164,7,0,1,92,0
11/1/05,587,0,29,31,139,314,0,22,52,0
10/1/05,209,0,26,34,91,1,0,0,57,0
9/1/15,116,0,7,0,33,0,0,0,76,0
8/1/15,130,0,15,0,40,0,0,0,75,0
7/1/15,318,0,34,0,49,1,0,14,220,0
6/1/15,460,0,2,0,22,0,0,8,428,0
5/1/15,352,0,4,0,22,6,0,1,319,0
4/1/15,259,0,5,0,10,35,0,10,199,0
3/1/15,321,0,19,0,54,72,0,0,176,0
