latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
-25.384,114.624,358.6,1.2,1.1,2012-01-24,0623,Aqua,MODIS,99,6.1,318.1,64.2
-25.373,114.633,350.4,1.2,1.1,2012-01-24,0623,Aqua,MODIS,92,6.1,315.7,43.6
-25.375,114.622,358.3,1.2,1.1,2012-01-24,0623,Aqua,MODIS,98,6.1,317.9,64.5
-25.35,114.653,350.6,1.2,1.1,2012-01-24,0623,Aqua,MODIS,92,6.1,309.2,44.7
-25.338,114.657,349.3,1.2,1.1,2012-01-24,0623,Aqua,MODIS,91,6.1,315.7,40.4
-25.336,114.668,350,1.2,1.1,2012-01-24,0623,Aqua,MODIS,92,6.1,315.8,42.9
-25.4,114.65,336.7,1,1,2012-01-26,0611,Aqua,MODIS,54,6.1,294,19.3
-25.412,114.632,347,1,1,2012-01-26,0611,Aqua,MODIS,89,6.1,298.8,35.9
-25.351,114.672,338.6,1,1,2012-01-26,0611,Aqua,MODIS,64,6.1,280.2,23.7
-25.36,114.674,342.1,1,1,2012-01-26,0611,Aqua,MODIS,75,6.1,283.9,29.7
-25.376,114.684,308.8,2.6,1.6,2012-01-26,1708,Aqua,MODIS,18,6.1,295.3,18.8
-25.373,114.693,311.9,2.6,1.6,2012-01-26,1708,Aqua,MODIS,67,6.1,295.4,27.7
-25.376,114.655,333.4,1,1,2012-01-27,0233,Terra,MODIS,68,6.1,313.4,11.3
-25.378,114.665,361.6,1,1,2012-01-27,0233,Terra,MODIS,100,6.1,316.2,68.6
-25.462,114.612,338,1,1,2012-01-27,0233,Terra,MODIS,76,6.1,316.9,17.4
-25.474,114.631,335.5,1,1,2012-01-27,0233,Terra,MODIS,71,6.1,317.9,12.7
-25.396,114.636,334.9,3.8,1.8,2012-01-27,0653,Aqua,MODIS,44,6.1,310.2,104.3
-25.404,114.678,370.4,3.8,1.8,2012-01-27,0653,Aqua,MODIS,100,6.1,312.4,663.2
-25.411,114.687,375.3,3.8,1.8,2012-01-27,0653,Aqua,MODIS,100,6.1,312.6,792.3
-25.394,114.683,351.1,3.8,1.8,2012-01-27,0653,Aqua,MODIS,91,6.1,312.8,294.2
-25.469,114.675,322.3,2,1.4,2012-01-27,1441,Terra,MODIS,100,6.1,300.6,36.9
-25.461,114.633,325.9,2,1.4,2012-01-27,1441,Terra,MODIS,100,6.1,299.8,49.8
-25.457,114.673,345.5,2,1.4,2012-01-27,1441,Terra,MODIS,100,6.1,301.6,124.9
-25.436,114.63,313.3,2,1.4,2012-01-27,1441,Terra,MODIS,19,6.1,298.8,16.4
-25.447,114.652,315.4,2,1.4,2012-01-27,1441,Terra,MODIS,34,6.1,299.2,19.1
-25.443,114.692,330.9,2,1.4,2012-01-27,1441,Terra,MODIS,100,6.1,299.8,60.5
-25.391,114.68,314.3,2,1.4,2012-01-27,1441,Terra,MODIS,47,6.1,299,17.4
-25.467,114.646,334.1,3.7,1.8,2012-01-28,0316,Terra,MODIS,84,6.1,308.9,104
-25.428,114.628,341.3,1.3,1.1,2012-01-28,0558,Aqua,MODIS,82,6.1,318.3,24.1
-25.487,114.65,382.1,1.3,1.1,2012-01-28,0558,Aqua,MODIS,100,6.1,322.1,187.9
-25.485,114.662,424.2,1.3,1.1,2012-01-28,0558,Aqua,MODIS,100,6.1,329.4,562.8
-25.475,114.661,365.1,1.3,1.1,2012-01-28,0558,Aqua,MODIS,100,6.1,321.6,95.9
-25.728,114.639,310.4,1.8,1.3,2012-02-20,1530,Terra,MODIS,80,6.1,297.1,15.9
-25.631,114.596,310.1,2.6,1.5,2012-02-21,1435,Terra,MODIS,33,6.1,291.8,27.8
-25.622,114.6,319.9,2.6,1.5,2012-02-21,1435,Terra,MODIS,90,6.1,291.1,60.3
-25.645,114.597,310.3,2.6,1.5,2012-02-21,1435,Terra,MODIS,64,6.1,292.1,29.1
-25.622,114.602,314.8,1,1,2012-02-21,1745,Aqua,MODIS,80,6.1,296.3,9.4
-25.698,114.654,343.7,1.6,1.2,2012-02-22,0553,Aqua,MODIS,86,6.1,313.5,44.6
-25.722,114.641,341.6,1.6,1.2,2012-02-22,0553,Aqua,MODIS,83,6.1,312.4,35.1
-25.602,114.587,337,1.6,1.2,2012-02-22,0553,Aqua,MODIS,50,6.1,312.2,26
-24.029,114.624,332.6,1.5,1.2,2012-02-22,0553,Aqua,MODIS,66,6.1,309,22
-25.564,114.623,314.4,1,1,2012-02-24,1505,Terra,MODIS,16,6.1,296.8,9.2
-25.554,114.632,327.8,1,1,2012-02-24,1505,Terra,MODIS,100,6.1,297.6,23.2
-25.561,114.628,334.1,2.6,1.5,2012-02-25,0202,Terra,MODIS,80,6.1,306,85.7
-25.543,114.634,343.5,1.2,1.1,2012-02-25,0623,Aqua,MODIS,16,6.1,317.7,25.9
-24.97,114.683,339.7,1.2,1.1,2012-02-25,0624,Aqua,MODIS,22,6.1,321,17.6
-24.979,114.69,345.9,1.2,1.1,2012-02-25,0624,Aqua,MODIS,66,6.1,322.7,30.6
-24.98,114.685,341.8,1.2,1.1,2012-02-25,0624,Aqua,MODIS,54,6.1,322.9,22.7
-25.531,114.615,319,1.3,1.1,2012-02-26,1453,Terra,MODIS,98,6.1,296.8,20.1
-25.513,114.633,307,1.8,1.3,2012-02-26,1803,Aqua,MODIS,17,6.1,293.8,14.4
-25.526,114.607,325.4,4.3,1.9,2012-02-27,0150,Terra,MODIS,66,6.1,303.2,94.9
-25.527,114.601,324.1,4.3,1.9,2012-02-27,0150,Terra,MODIS,64,6.1,303.2,84
-25.502,114.585,414.1,1,1,2012-02-27,0611,Aqua,MODIS,100,6.1,330,324.3
-25.5,114.594,383.6,1,1,2012-02-27,0611,Aqua,MODIS,100,6.1,324.1,144.5
-25.536,114.601,349.2,1,1,2012-02-27,0611,Aqua,MODIS,69,6.1,322.8,27.5
-25.497,114.614,341.4,1,1,2012-02-27,0611,Aqua,MODIS,49,6.1,319,17.4
-25.491,114.593,355,1,1,2012-02-27,0611,Aqua,MODIS,96,6.1,315.2,50.9
-25.493,114.583,396.8,1,1,2012-02-27,0611,Aqua,MODIS,100,6.1,319.4,212.5
-23.708,114.69,339,1,1,2013-12-15,0233,Terra,MODIS,33,6.1,321.3,11.3
-23.717,114.688,360.1,1,1,2013-12-15,0233,Terra,MODIS,100,6.1,323.8,56.4
-25.854,114.667,386.6,1,1,2015-11-26,0240,Terra,MODIS,100,6.1,321.4,164.5
-25.905,114.683,347,4.7,2,2015-11-26,0700,Aqua,MODIS,94,6.1,310,363.3
-25.886,114.686,345.5,4.7,2,2015-11-26,0700,Aqua,MODIS,93,6.1,309.6,321.8
-26.013,114.652,303.8,2.6,1.6,2015-11-28,1435,Terra,MODIS,48,6.1,288.3,20.7
-25.835,114.674,346.1,1.6,1.2,2015-11-29,0552,Aqua,MODIS,88,6.1,319.7,52
-25.965,114.67,359.7,1.8,1.3,2015-12-01,0258,Terra,MODIS,99,6.1,321.2,141.2
-25.188,114.64,339,2.7,1.6,2015-12-02,0203,Terra,MODIS,83,6.1,311.6,88.3
-25.226,114.686,335.6,2.6,1.6,2015-12-02,0203,Terra,MODIS,40,6.1,311.7,56
-25.537,114.609,328.7,2.6,1.6,2015-12-02,0203,Terra,MODIS,67,6.1,305.8,41.7
-25.562,114.657,332.6,2.6,1.6,2015-12-02,0203,Terra,MODIS,75,6.1,309,55.9
-25.571,114.628,327.3,2.6,1.6,2015-12-02,0203,Terra,MODIS,63,6.1,306.5,37.8
-25.799,114.686,340.7,1.2,1.1,2015-12-02,0623,Aqua,MODIS,62,6.1,321.7,13.7
-25.762,114.667,340.3,1.2,1.1,2015-12-02,0623,Aqua,MODIS,80,6.1,316.1,19.2
-25.791,114.673,354.7,1.2,1.1,2015-12-02,0623,Aqua,MODIS,96,6.1,321.9,49.1
-25.772,114.669,368.7,1.2,1.1,2015-12-02,0623,Aqua,MODIS,100,6.1,322.1,103.3
-25.533,114.613,336,1.2,1.1,2015-12-02,0623,Aqua,MODIS,52,6.1,313.3,15.5
-25.581,114.642,347.5,1.2,1.1,2015-12-02,0623,Aqua,MODIS,89,6.1,316.2,36.8
-25.535,114.602,337.8,1.2,1.1,2015-12-02,0623,Aqua,MODIS,59,6.1,314,19.1
-25.261,114.589,344.7,1.2,1.1,2015-12-02,0623,Aqua,MODIS,86,6.1,313.8,35.5
-25.248,114.61,363.1,1.2,1.1,2015-12-02,0623,Aqua,MODIS,87,6.1,308.7,84.6
-25.24,114.597,343.9,1.2,1.1,2015-12-02,0623,Aqua,MODIS,33,6.1,310.6,28.3
-25.251,114.587,355.7,1.2,1.1,2015-12-02,0623,Aqua,MODIS,96,6.1,314.9,65.7
-25.25,114.599,355.1,1.2,1.1,2015-12-02,0623,Aqua,MODIS,91,6.1,311.2,62
-25.242,114.585,373.3,1.2,1.1,2015-12-02,0623,Aqua,MODIS,94,6.1,307.7,130.7
-25.23,114.595,357.9,1.2,1.1,2015-12-02,0623,Aqua,MODIS,48,6.1,317.2,58.1
-25.219,114.604,348.3,1.2,1.1,2015-12-02,0623,Aqua,MODIS,54,6.1,321.1,18.7
-25.178,114.608,356.7,1.2,1.1,2015-12-02,0623,Aqua,MODIS,78,6.1,326.2,47.7
-25.172,114.583,360.2,1.2,1.1,2015-12-02,0623,Aqua,MODIS,100,6.1,324.4,63.2
-25.168,114.588,345,1.2,1.1,2015-12-02,0623,Aqua,MODIS,75,6.1,323.1,25.2
-25.742,114.66,307.3,3.7,1.8,2015-12-02,1549,Terra,MODIS,46,6.1,294.8,37.1
-25.138,114.685,308.4,3.8,1.8,2015-12-02,1549,Terra,MODIS,12,6.1,295.8,37.7
-25.146,114.648,307.6,3.8,1.8,2015-12-02,1549,Terra,MODIS,7,6.1,295.8,33.7
-25.723,114.657,321.7,1.6,1.2,2015-12-02,1720,Aqua,MODIS,100,6.1,297.7,31.5
-25.734,114.655,312.9,1.6,1.2,2015-12-02,1720,Aqua,MODIS,86,6.1,297,17.3
-25.738,114.621,333,1.2,1.1,2015-12-03,0246,Terra,MODIS,32,6.1,315.3,8.4
-25.138,114.663,340.7,1,1,2015-12-04,0611,Aqua,MODIS,58,6.1,320.7,13.4
-23.799,114.692,330.2,1.1,1.1,2016-03-03,0227,Terra,MODIS,68,6.1,308.9,9.2
-23.622,114.67,307.1,1.5,1.2,2017-12-27,1524,Terra,MODIS,60,6.1,295.8,10.5
-23.615,114.68,347.4,1.2,1.1,2017-12-27,0559,Aqua,MODIS,67,6.1,322.2,27.5
-23.638,114.671,335.7,1.4,1.2,2017-12-28,0220,Terra,MODIS,66,6.1,314.4,21.2
-23.637,114.663,340.5,2.1,1.4,2017-12-29,0303,Terra,MODIS,68,6.1,323.5,50.7
-23.644,114.645,342.8,1.5,1.2,2017-12-30,0630,Aqua,MODIS,56,6.1,322.2,25.5
-23.63,114.658,347.6,1.5,1.2,2017-12-30,0630,Aqua,MODIS,89,6.1,324.8,39.3
-21.744,114.909,306.2,3.7,1.8,2012-02-23,1423,Terra,MODIS,39,6.1,290.4,34
-21.727,114.908,306,3.7,1.8,2012-02-23,1423,Terra,MODIS,3,6.1,289.2,29.6
-21.719,114.904,311.1,1.2,1.1,2012-02-23,1732,Aqua,MODIS,56,6.1,295.7,8.3
-21.729,114.902,307,1.2,1.1,2012-02-23,1732,Aqua,MODIS,39,6.1,295.5,5.1
-21.739,114.889,333,2.2,1.4,2012-02-24,0541,Aqua,MODIS,59,6.1,305.6,41
-22.136,114.931,322.9,2.8,1.6,2012-12-24,1815,Aqua,MODIS,100,6.1,296.9,74.9
-22.124,114.96,308.8,2.8,1.6,2012-12-24,1815,Aqua,MODIS,41,6.1,296,25.4
-22.153,114.957,309.9,2.8,1.6,2012-12-24,1815,Aqua,MODIS,29,6.1,295.8,27.7
-22.15,114.929,315.7,2.8,1.6,2012-12-24,1815,Aqua,MODIS,89,6.1,296.1,46.9
-22.14,114.953,329.6,2.8,1.6,2012-12-24,1815,Aqua,MODIS,100,6.1,297.3,114.5
-22.126,114.955,312.1,2.8,1.6,2012-12-24,1815,Aqua,MODIS,77,6.1,296.4,35.8
-22.138,114.926,322.5,2.8,1.6,2012-12-24,1815,Aqua,MODIS,100,6.1,296.4,76.1
-22.171,114.913,342.2,3,1.6,2012-12-25,0201,Terra,MODIS,91,6.1,309.9,122.3
-22.176,114.935,349.5,3,1.6,2012-12-25,0201,Terra,MODIS,95,6.1,309.6,192.2
-21.881,114.924,309.8,1.1,1.1,2014-01-14,1454,Terra,MODIS,67,6.1,293.6,9
-22.1,114.909,345.8,1,1,2015-02-11,0239,Terra,MODIS,88,6.1,320.7,24.9
-21.859,114.917,325,1.6,1.2,2017-02-21,0257,Terra,MODIS,29,6.1,303.3,13.4
-21.7,114.995,311.4,1.1,1,2017-07-01,0244,Terra,MODIS,37,6.1,299.3,7.4
-21.699,114.999,307.6,1.8,1.3,2017-07-30,0214,Terra,MODIS,44,6.1,295.8,11.4
-21.694,114.999,312.9,3.6,1.8,2017-08-05,0315,Terra,MODIS,0,6.1,301.1,26.6
-21.702,114.993,312.7,3.6,1.8,2017-08-05,0315,Terra,MODIS,33,6.1,302.1,31.5
-21.693,114.998,309,1.8,1.3,2017-08-05,1525,Terra,MODIS,76,6.1,286.3,24.8
-21.696,114.998,303.3,1.3,1.1,2017-08-09,0251,Terra,MODIS,37,6.1,288.2,5.6
-21.697,114.998,331.8,1.1,1.1,2017-08-10,0618,Aqua,MODIS,81,6.1,305,28.5
-21.699,114.987,325.4,1.1,1.1,2017-08-10,0618,Aqua,MODIS,73,6.1,306.1,18.6
-21.699,115.003,318.2,1,1,2017-08-11,0239,Terra,MODIS,62,6.1,299.3,10.9
-21.707,114.99,311.7,4.6,2,2017-08-12,0322,Terra,MODIS,0,6.1,298,42.1
-21.691,114.993,312.4,2.3,1.5,2017-08-12,1531,Terra,MODIS,85,6.1,288.4,42.3
-21.703,114.994,342.1,1,1,2017-08-12,0606,Aqua,MODIS,78,6.1,308,38.5
-21.698,114.996,332.3,1.2,1.1,2017-08-13,0226,Terra,MODIS,83,6.1,298.8,32.2
-21.703,114.983,304.9,2.2,1.4,2017-08-13,1436,Terra,MODIS,20,6.1,289.9,19
