latitude,longitude
-20.728,118.957
-20.727,118.947
-20.724,118.932
-20.725,118.942
-20.661,120.299
-20.652,120.321
-20.667,120.281
-20.665,120.299
-20.677,120.301
-20.679,120.282
-20.661,120.334
-20.656,120.325
-20.659,120.345
-20.658,120.335
-20.661,120.355
-20.67,120.293
-20.681,120.306
-20.682,120.315
-20.672,120.311
-20.657,120.313
-20.671,120.305
-20.657,120.39
-20.677,120.313
-20.674,120.335
-20.677,120.422
-20.663,120.418
-20.682,120.568
-20.693,120.515
-20.69,120.507
-20.685,120.534
-20.676,120.504
-20.705,120.591
-20.704,120.598
-20.701,120.61
-20.708,120.612
-20.68,120.505
-20.459,120.2
-20.462,120.16
-20.51,120.204
-20.459,120.151
-20.455,120.191
-20.421,120.205
-20.406,120.197
-20.68,118.94
-20.674,118.953
-20.664,118.952
-20.604,120.464
-20.557,120.458
-20.555,120.476
-20.543,120.474
-20.545,120.457
-20.519,120.471
-20.539,120.45
-20.521,120.454
-20.537,120.467
-20.513,120.464
-20.525,120.466
-20.505,120.491
-20.515,120.49
-20.6,120.504
-20.598,120.497
-20.626,120.447
-20.57,120.506
-20.6,120.479
-20.559,120.488
-20.593,120.481
-20.671,120.531
-20.656,120.527
-20.672,120.448
-20.667,120.474
-20.662,120.501
-20.668,120.504
-20.498,120.503
-20.498,120.573
-20.493,120.534
-20.491,120.524
-20.477,120.556
-20.485,120.545
-20.484,120.535
-20.479,120.566
-20.466,120.522
-20.415,120.534
-20.411,120.563
-20.405,120.532
-20.486,120.297
-20.477,120.296
-20.463,120.338
-20.458,120.363
-20.449,120.334
-20.456,120.356
-20.447,120.327
-20.433,120.368
-20.457,120.357
-20.449,120.364
-20.465,120.36
-20.442,120.361
-20.465,120.367
-20.461,120.374
-20.463,120.384
-20.458,120.353
-20.453,120.386
-20.451,120.376
-20.445,120.333
-20.443,120.322
-20.435,120.335
-20.474,120.365
-20.466,120.378
-20.476,120.376
-20.478,120.387
-20.488,120.317
-20.486,120.32
-20.46,120.405
-20.418,120.335
-20.429,120.443
-20.39,120.359
-20.372,120.479
-20.39,120.507
-20.375,120.508
-20.393,120.388
-20.432,120.472
-20.403,120.498
-20.428,120.436
-20.392,120.381
-20.39,120.352
-20.447,120.471
-20.431,120.466
-20.463,120.492
-20.446,120.464
-20.448,120.494
-20.435,120.361
-20.433,120.373
-20.451,120.307
-20.444,120.363
-20.43,120.473
-20.439,120.475
-20.443,120.374
-20.441,120.464
-20.402,120.458
-20.419,120.325
-20.418,120.336
-20.442,120.306
-20.449,120.409
-20.449,120.42
-20.426,120.35
-20.377,120.302
-20.375,120.308
-20.384,120.522
-20.42,120.348
-20.423,120.43
-20.42,120.414
-20.408,120.416
-20.411,120.432
-20.42,120.425
-20.417,120.409
-20.39,120.304
-20.393,120.312
-20.407,120.315
-20.398,120.286
-20.404,120.307
-20.642,120.303
-20.624,120.292
-20.642,120.296
-20.624,120.299
-20.509,120.286
-20.632,120.316
-20.646,120.288
-20.647,120.298
-20.648,120.305
-20.496,120.295
-20.62,120.322
-20.622,120.312
-20.631,120.314
-20.629,120.323
-20.602,120.402
-20.631,120.328
-20.626,120.354
-20.621,120.38
-20.61,120.383
-20.624,120.387
-20.605,120.409
-20.634,120.335
-20.629,120.361
-20.588,120.399
-20.612,120.35
-20.607,120.376
-20.598,120.346
-20.593,120.373
-20.622,120.341
-20.636,120.378
-20.629,120.343
-20.627,120.415
-20.636,120.408
-20.629,120.374
-20.598,120.394
-20.589,120.432
-20.582,120.399
-20.62,120.381
-20.595,120.423
-20.589,120.389
-20.591,120.338
-20.583,120.35
-20.582,120.34
-20.63,120.396
-20.593,120.349
-20.601,120.401
-20.636,120.374
-20.637,120.384
-20.634,120.363
-20.646,120.344
-20.642,120.351
-20.638,120.329
-20.64,120.34
-20.644,120.333
-20.64,120.312
-20.642,120.323
-20.647,120.354
-20.578,120.373
-20.576,120.39
-20.568,120.353
-20.547,120.439
-20.549,120.422
-20.507,120.411
-20.541,120.432
-20.541,120.42
-20.543,120.43
-20.632,120.419
-20.564,120.386
-20.56,120.357
-20.503,120.412
-20.505,120.421
-20.5,120.399
-20.553,120.33
-20.518,120.427
-20.524,120.339
-20.527,120.367
-20.544,120.39
-20.53,120.396
-20.541,120.361
-20.516,120.422
-20.533,120.426
-20.538,120.332
-20.531,120.42
-20.526,120.362
-20.529,120.391
-20.559,120.388
-20.556,120.359
-20.568,120.329
-20.571,120.358
-20.57,120.351
-20.644,120.411
-20.643,120.422
-20.64,120.415
-20.642,120.404
-20.561,120.329
-20.559,120.341
-20.562,120.335
-20.572,120.336
-20.538,120.349
-20.537,120.36
-20.571,120.376
-20.568,120.338
-20.603,120.652
-20.592,120.673
-20.586,120.706
-20.584,120.691
-20.581,120.675
-20.578,120.66
-20.57,120.678
-20.571,120.684
-20.573,120.699
-20.572,120.693
-20.575,120.708
-20.589,120.658
-20.603,120.671
-20.595,120.688
-20.6,120.656
-20.644,120.665
-20.627,120.7
-20.628,120.525
-20.622,120.519
-20.63,120.508
-20.619,120.522
-20.538,120.531
-20.537,120.521
-20.509,120.581
-20.507,120.572
-20.506,120.562
-20.515,120.56
-20.53,120.542
-20.511,120.531
-20.529,120.532
-20.523,120.549
-20.558,120.538
-20.555,120.508
-20.573,120.536
-20.57,120.507
-20.588,120.535
-20.601,120.527
-20.603,120.534
-20.549,120.514
-20.557,120.526
-20.606,120.635
-20.513,120.587
-20.609,120.619
-20.601,120.612
-20.509,120.593
-20.598,120.628
-20.597,120.617
-20.586,120.559
-20.521,120.595
-20.584,120.627
-20.562,120.504
-20.575,120.645
-20.587,120.643
-20.598,120.64
-20.595,120.625
-20.606,120.623
-20.644,120.513
-20.65,120.638
-20.635,120.635
-20.626,120.605
-20.627,120.591
-20.622,120.602
-20.635,120.586
-20.627,120.597
-20.623,120.585
-20.629,120.58
-20.559,120.259
-20.569,120.261
-20.591,120.252
-20.619,120.27
-20.619,120.265
-20.514,120.262
-20.509,120.233
-20.476,120.258
-20.475,120.248
-20.473,120.239
-20.472,120.229
-20.464,120.24
-20.463,120.23
-20.652,120.267
-20.643,120.269
-20.642,120.259
-20.515,120.272
-20.625,120.268
-20.649,120.269
-20.646,120.261
-20.656,120.248
-20.654,120.259
-20.573,120.253
-20.575,120.241
-20.515,120.227
-20.655,120.257
-20.432,120.229
-20.668,120.251
-20.666,120.261
-20.45,120.232
-20.441,120.231
-20.677,120.265
-20.673,120.258
-20.671,120.256
-20.39,120.233
-20.388,120.222
-20.386,120.211
-20.378,120.224
-20.38,120.235
-20.435,120.269
-20.364,120.225
-20.369,120.238
-20.347,120.22
-20.349,120.248
-20.361,120.218
-20.376,120.217
-20.37,120.232
-20.349,120.241
