latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
-27.168,114.132,339.6,1.1,1,2014-01-13,0623,Aqua,MODIS,75,6.1,317.2,22.2
-27.191,114.139,363.4,2,1.4,2014-01-18,0641,Aqua,MODIS,100,6.1,325.9,179.7
-27.195,114.12,348.6,1.9,1.4,2014-01-18,0641,Aqua,MODIS,90,6.1,324,83
-26.927,114.12,390.3,1.1,1,2015-12-02,0623,Aqua,MODIS,100,6.1,316.4,204.3
-26.938,114.111,340.1,1.1,1,2015-12-02,0623,Aqua,MODIS,81,6.1,312.4,28
-26.94,114.116,328,4.8,2,2015-12-03,0528,Aqua,MODIS,55,6.1,304,135.4
-22.376,114.09,323.3,1.5,1.2,2017-08-11,1448,Terra,MODIS,100,6.1,284.8,44.8
-22.355,114.101,305.5,1.2,1.1,2017-08-11,1756,Aqua,MODIS,65,6.1,283.2,12.4
-22.356,114.112,318.8,1.2,1.1,2017-08-11,1756,Aqua,MODIS,97,6.1,284,25.4
-22.365,114.099,313.6,1.2,1.1,2017-08-11,1756,Aqua,MODIS,87,6.1,283.8,19
-24.382,114.222,373.5,3.8,1.8,2012-01-08,1548,Terra,MODIS,100,6.1,292.3,848.1
-24.406,114.19,319.4,3.7,1.8,2012-01-08,1548,Terra,MODIS,68,6.1,287.6,122.4
-24.408,114.224,328,3.8,1.8,2012-01-08,1548,Terra,MODIS,33,6.1,284.5,177.8
-24.36,114.211,361,3.8,1.8,2012-01-08,1548,Terra,MODIS,100,6.1,284.9,581.1
-24.352,114.248,322.9,3.8,1.8,2012-01-08,1548,Terra,MODIS,52,6.1,273.3,134.6
-24.313,114.268,316.2,1.3,1.1,2012-01-09,1453,Terra,MODIS,93,6.1,295.7,13.6
-24.294,114.253,314.4,1.3,1.1,2012-01-09,1453,Terra,MODIS,89,6.1,294.7,12.3
-24.303,114.267,319.3,1.3,1.1,2012-01-09,1453,Terra,MODIS,98,6.1,295.4,17.9
-24.304,114.254,310.8,1.3,1.1,2012-01-09,1453,Terra,MODIS,55,6.1,293.8,7.5
-24.235,114.161,317.9,1.3,1.1,2012-01-09,1453,Terra,MODIS,96,6.1,296.5,16.3
-24.282,114.248,310.7,1.6,1.2,2012-01-09,1803,Aqua,MODIS,52,6.1,295,13.5
-24.604,114.277,319.9,1.6,1.3,2012-01-09,1803,Aqua,MODIS,99,6.1,295.7,29.9
-24.592,114.279,307,1.6,1.3,2012-01-09,1803,Aqua,MODIS,70,6.1,295.1,9.8
-24.275,114.248,323.4,4.8,2,2012-01-10,0150,Terra,MODIS,55,6.1,295.9,91.3
-24.604,114.229,333,4.7,2,2012-01-10,0150,Terra,MODIS,59,6.1,295.8,196.4
-24.567,114.273,349.8,1,1,2012-01-10,0611,Aqua,MODIS,79,6.1,316.1,37.9
-24.599,114.177,338.8,1,1,2012-01-10,0611,Aqua,MODIS,62,6.1,306.4,24
-24.621,114.222,349.9,1,1,2012-01-10,0611,Aqua,MODIS,86,6.1,303.8,41.8
-24.633,114.264,343.5,1,1,2012-01-10,0611,Aqua,MODIS,45,6.1,309.5,27.3
-24.439,114.209,346.5,1,1,2012-01-10,0611,Aqua,MODIS,82,6.1,298.6,35.5
-24.278,114.235,357,1,1,2012-01-10,0611,Aqua,MODIS,92,6.1,307.7,62.4
-24.277,114.245,387.3,1,1,2012-01-10,0611,Aqua,MODIS,87,6.1,302.6,170.7
-24.286,114.247,352.1,1,1,2012-01-10,0611,Aqua,MODIS,41,6.1,313.5,50.2
-24.224,114.17,340.5,1,1,2012-01-10,0611,Aqua,MODIS,83,6.1,306.3,25
-24.231,114.181,338.4,1,1,2012-01-10,0611,Aqua,MODIS,55,6.1,309.9,20.6
-24.207,114.17,333,1,1,2012-01-11,0233,Terra,MODIS,73,6.1,300.3,17
-24.154,114.164,341.5,2.3,1.5,2012-01-13,0642,Aqua,MODIS,87,6.1,300.4,95.3
-24.142,114.226,310.3,1,1,2012-01-13,1738,Aqua,MODIS,42,6.1,296.5,6.2
-24.14,114.226,330.3,2,1.4,2012-01-14,0303,Terra,MODIS,77,6.1,303.4,33.1
-24.175,114.202,332.9,2,1.4,2012-01-14,0303,Terra,MODIS,70,6.1,303.6,38.4
-24.194,114.26,328.8,2,1.4,2012-01-14,0303,Terra,MODIS,69,6.1,298.3,36.5
-24.133,114.184,336.8,2.1,1.4,2012-01-14,0547,Aqua,MODIS,72,6.1,301,61.8
-24.143,114.206,338.9,2,1.4,2012-01-14,0547,Aqua,MODIS,62,6.1,300,78.3
-24.254,114.26,310.1,1,1,2012-01-14,1512,Terra,MODIS,41,6.1,296.7,5.7
-24.206,114.277,307.6,1,1,2012-01-14,1512,Terra,MODIS,72,6.1,296.3,4.6
-24.141,114.227,311.8,1,1,2012-01-14,1512,Terra,MODIS,22,6.1,295.3,7.8
-24.639,114.176,362.3,1.4,1.2,2012-01-15,0629,Aqua,MODIS,100,6.1,319,95.9
-24.218,114.278,352.4,1.4,1.2,2012-01-15,0629,Aqua,MODIS,83,6.1,313.4,77.4
-24.268,114.245,344.4,1.4,1.2,2012-01-15,0629,Aqua,MODIS,86,6.1,314.7,30.2
-24.223,114.25,366.2,1.4,1.2,2012-01-15,0629,Aqua,MODIS,100,6.1,314.9,127.5
-24.209,114.184,341.9,1.4,1.2,2012-01-15,0629,Aqua,MODIS,83,6.1,311,22.5
-24.207,114.255,372.8,1.4,1.2,2012-01-15,0629,Aqua,MODIS,100,6.1,314.2,170.9
-24.217,114.2,342.6,1.4,1.2,2012-01-15,0629,Aqua,MODIS,84,6.1,315.4,27.3
-24.131,114.254,330.5,1.4,1.2,2012-01-15,0629,Aqua,MODIS,47,6.1,292,17.1
-24.117,114.173,360.7,1.4,1.2,2012-01-15,0629,Aqua,MODIS,100,6.1,314.9,98.9
-24.233,114.263,340.2,1.3,1.1,2012-01-16,0251,Terra,MODIS,83,6.1,310.9,27.2
-24.226,114.2,337.9,1.3,1.1,2012-01-16,0251,Terra,MODIS,80,6.1,313.4,20.6
-24.072,114.181,332,3.4,1.7,2012-01-16,0534,Aqua,MODIS,61,6.1,304.7,73.3
-24.103,114.217,335.2,1.6,1.2,2012-01-21,0553,Aqua,MODIS,62,6.1,307.6,43.9
-25.081,114.279,354.7,1.1,1.1,2012-01-24,0623,Aqua,MODIS,76,6.1,314.2,65.1
-25.075,114.254,353.8,1.1,1.1,2012-01-24,0623,Aqua,MODIS,83,6.1,304.9,65.4
-25.064,114.264,339.6,1.1,1.1,2012-01-24,0623,Aqua,MODIS,36,6.1,300.2,33.6
-25.066,114.252,354.1,1.1,1.1,2012-01-24,0623,Aqua,MODIS,83,6.1,304.1,67.7
-25.283,114.254,333.8,1.1,1.1,2012-02-21,0227,Terra,MODIS,69,6.1,311.3,16.1
-25.287,114.277,346.6,1.1,1.1,2012-02-21,0227,Terra,MODIS,89,6.1,313.5,39.2
-25.296,114.275,379.3,1.1,1.1,2012-02-21,0227,Terra,MODIS,100,6.1,314.9,153.7
-25.294,114.264,372.7,1.1,1.1,2012-02-21,0227,Terra,MODIS,100,6.1,314.6,127.2
-25.31,114.277,337.9,1.1,1.1,2012-02-21,0227,Terra,MODIS,78,6.1,312.1,23.9
-25.306,114.273,354,1.1,1.1,2012-02-21,0227,Terra,MODIS,95,6.1,311.8,59.5
-25.282,114.253,331.7,2.8,1.6,2012-02-21,0648,Aqua,MODIS,69,6.1,305.3,60.2
-25.318,114.248,328.1,2.7,1.6,2012-02-22,0310,Terra,MODIS,68,6.1,305.2,39.9
-25.313,114.215,342.9,1.6,1.3,2012-02-22,0553,Aqua,MODIS,69,6.1,308.9,47.1
-25.311,114.232,357.1,1.6,1.3,2012-02-22,0553,Aqua,MODIS,98,6.1,313.5,104.2
-25.323,114.233,346.8,1.6,1.3,2012-02-22,0553,Aqua,MODIS,84,6.1,314.5,56.5
-25.277,114.227,343.6,1.6,1.3,2012-02-22,0553,Aqua,MODIS,75,6.1,311.5,46.5
-25.266,114.237,336.5,1.6,1.3,2012-02-22,0553,Aqua,MODIS,73,6.1,312.9,25.5
-25.266,114.226,343.2,1.6,1.3,2012-02-22,0553,Aqua,MODIS,84,6.1,312.1,47.4
-24.085,114.262,305.3,1.2,1.1,2012-02-23,1732,Aqua,MODIS,64,6.1,294,6.4
-28.094,114.214,309,1,1,2012-05-18,0234,Terra,MODIS,43,6.1,297.3,4.2
-27.938,114.238,305.6,1.2,1.1,2012-07-03,0246,Terra,MODIS,59,6.1,293.8,6.8
-23.51,114.27,351.9,3.3,1.7,2013-02-03,0535,Aqua,MODIS,94,6.1,313.5,242.3
-23.5,114.264,343.5,3.3,1.7,2013-02-03,0535,Aqua,MODIS,87,6.1,311.9,147.8
-23.573,114.271,313.7,1.1,1,2013-02-03,1500,Terra,MODIS,88,6.1,298.9,10.5
-28.06,114.237,331.7,1.5,1.2,2013-03-13,0635,Aqua,MODIS,72,6.1,306.7,26.1
-28.063,114.227,340.2,1.5,1.2,2013-03-13,0635,Aqua,MODIS,84,6.1,307.8,54.2
-28.063,114.222,333.6,1.5,1.2,2013-03-13,0635,Aqua,MODIS,66,6.1,307.3,34
-28.085,114.279,341,1.8,1.3,2013-03-14,0259,Terra,MODIS,89,6.1,303.2,69.7
-22.997,114.167,330.1,3.3,1.7,2013-03-19,0316,Terra,MODIS,65,6.1,309.5,54.2
-23.368,114.252,329.4,1.2,1.1,2013-09-23,0624,Aqua,MODIS,70,6.1,311.2,15.1
-27.181,114.168,336.7,1.1,1,2014-01-13,0623,Aqua,MODIS,52,6.1,317.5,13.1
-27.192,114.159,357.8,1.1,1,2014-01-13,0623,Aqua,MODIS,98,6.1,321.8,60.9
-27.183,114.158,340.5,1.1,1,2014-01-13,0623,Aqua,MODIS,78,6.1,318.3,19.7
-27.907,114.202,313,1,1,2014-05-14,0617,Aqua,MODIS,56,6.1,300.6,7
-27.882,114.217,347.8,3.9,1.8,2014-06-16,0700,Aqua,MODIS,94,6.1,298.4,401.6
-28.058,114.235,328.3,1.1,1,2014-08-25,0623,Aqua,MODIS,78,6.1,306.9,19.6
-23,114.276,350.5,3.3,1.7,2015-01-04,0316,Terra,MODIS,93,6.1,311.3,241.4
-22.997,114.244,334.2,3.3,1.7,2015-01-04,0316,Terra,MODIS,70,6.1,311.6,74.9
-27.966,114.27,427.7,2.4,1.5,2015-09-09,0647,Aqua,MODIS,100,6.1,314.4,1658.5
-27.972,114.264,465.1,2.4,1.5,2015-09-09,0647,Aqua,MODIS,100,6.1,328.5,3351.9
-27.95,114.233,323,2.4,1.5,2015-09-09,0647,Aqua,MODIS,52,6.1,305.4,41.4
-27.964,114.236,421.2,2.4,1.5,2015-09-09,0647,Aqua,MODIS,100,6.1,320.5,1432.1
-27.96,114.243,344.4,1,1,2015-09-09,1745,Aqua,MODIS,100,6.1,286.3,53.5
-27.963,114.264,331.7,1,1,2015-09-09,1745,Aqua,MODIS,100,6.1,283.3,33.6
-23.436,114.233,365.9,1.2,1.1,2015-11-24,0251,Terra,MODIS,100,6.1,315.4,109
-23.403,114.233,341,3.4,1.7,2015-11-24,0535,Aqua,MODIS,82,6.1,290.8,158
-23.405,114.219,320.3,1.1,1,2015-11-24,1500,Terra,MODIS,100,6.1,297,16.8
-23.414,114.22,315.8,1.1,1,2015-11-24,1500,Terra,MODIS,92,6.1,296.6,12.5
-28.055,114.244,303.1,1,1,2016-08-01,0235,Terra,MODIS,55,6.1,288,5.6
-27.585,114.18,328.4,1.9,1.4,2017-05-18,0641,Aqua,MODIS,81,6.1,298.7,55.5
-27.576,114.157,314.5,1.9,1.4,2017-05-18,0641,Aqua,MODIS,52,6.1,299.4,21.3
-28.89,114.776,325.8,1,1,2011-04-29,0610,Aqua,MODIS,76,6.1,303.9,15
-28.676,114.765,363,1.2,1.1,2011-05-02,0222,Terra,MODIS,100,6.1,306.5,105.9
-28.672,114.741,365.6,1.2,1.1,2011-05-02,0222,Terra,MODIS,100,6.1,306.7,116.2
