latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
-25.26,114.951,321.9,1.9,1.3,2012-01-27,1441,Terra,MODIS,100,6.1,299.9,37
-25.245,114.968,316.8,1.9,1.3,2012-01-27,1441,Terra,MODIS,91,6.1,299.6,24.9
-25.221,114.965,318.9,1.9,1.3,2012-01-27,1441,Terra,MODIS,97,6.1,299.2,29.8
-25.211,114.945,315.1,1.9,1.3,2012-01-27,1441,Terra,MODIS,86,6.1,299.4,21.9
-25.213,114.972,311.4,1.2,1.1,2012-01-27,1751,Aqua,MODIS,30,6.1,298.3,8.2
-25.252,114.966,318.7,1.2,1.1,2012-01-27,1751,Aqua,MODIS,97,6.1,299.4,15.5
-25.234,114.98,308.4,1.2,1.1,2012-01-27,1751,Aqua,MODIS,26,6.1,298.2,6
-25.246,114.984,329.1,3.9,1.8,2012-01-28,0316,Terra,MODIS,26,6.1,305.8,69.4
-25.216,114.959,330.2,3.9,1.8,2012-01-28,0316,Terra,MODIS,47,6.1,306.5,70.2
-25.255,114.965,348.8,1.2,1.1,2012-01-28,0558,Aqua,MODIS,71,6.1,317.3,38.9
-25.271,114.918,345.4,1.2,1.1,2012-01-28,0558,Aqua,MODIS,50,6.1,320,29.3
-25.262,114.905,357.7,1.2,1.1,2012-01-28,0558,Aqua,MODIS,98,6.1,324.4,62.2
-25.214,114.971,364.4,1.2,1.1,2012-01-28,0559,Aqua,MODIS,100,6.1,320.4,87.5
-25.232,114.986,343.2,1.2,1.1,2012-01-28,0559,Aqua,MODIS,70,6.1,319.4,25.1
-25.314,114.907,307.6,4.1,1.9,2012-01-28,1656,Aqua,MODIS,69,6.1,294.6,36.4
-25.31,114.913,307.2,4.1,1.9,2012-01-28,1656,Aqua,MODIS,69,6.1,294.4,32.6
-25.39,114.929,308.2,4.1,1.9,2012-01-28,1656,Aqua,MODIS,71,6.1,295.7,37
-25.407,114.916,321.6,4.1,1.9,2012-01-28,1656,Aqua,MODIS,100,6.1,296.1,120.2
-25.334,114.905,340.8,1.3,1.1,2012-01-29,0220,Terra,MODIS,70,6.1,316.1,22.6
-25.272,114.963,333,1.3,1.1,2012-01-29,0220,Terra,MODIS,50,6.1,313.4,12.2
-25.426,114.905,336.8,1.3,1.1,2012-01-29,0220,Terra,MODIS,74,6.1,314.3,18
-25.472,114.906,338.1,2.3,1.5,2012-01-30,0303,Terra,MODIS,54,6.1,298.3,94.6
-25.656,114.974,328.6,2.5,1.5,2012-02-09,0202,Terra,MODIS,46,6.1,310.8,42.9
-25.663,114.974,343.7,1.2,1.1,2012-02-09,0623,Aqua,MODIS,40,6.1,324.4,27.8
-25.651,114.984,359.3,1.2,1.1,2012-02-09,0623,Aqua,MODIS,99,6.1,328,69.9
-25.652,114.932,333.9,1.2,1.1,2012-02-10,0245,Terra,MODIS,64,6.1,317.9,12.1
-24.561,114.928,330.3,1.6,1.2,2013-02-09,0214,Terra,MODIS,63,6.1,308.4,25.3
-24.558,114.913,328.1,1.6,1.3,2013-02-09,0214,Terra,MODIS,50,6.1,307.7,19
-24.57,114.905,338.7,2,1.4,2013-02-09,0636,Aqua,MODIS,69,6.1,315.9,37.4
-25.113,114.937,344.5,1.4,1.2,2015-11-24,0252,Terra,MODIS,88,6.1,311.5,44.5
-25.099,114.945,343,1.4,1.2,2015-11-24,0252,Terra,MODIS,88,6.1,313.1,41.1
-25.109,114.944,343.8,1.4,1.2,2015-11-24,0252,Terra,MODIS,89,6.1,313.5,43.6
-25.124,114.936,343.6,1.4,1.2,2015-11-24,0252,Terra,MODIS,89,6.1,312.3,42.2
-25.098,114.908,332.1,3.1,1.7,2015-11-24,0534,Aqua,MODIS,47,6.1,306.2,64.5
-25.145,114.918,362,1,1,2015-11-26,0240,Terra,MODIS,100,6.1,323.4,69.2
-25.144,114.907,347.9,1,1,2015-11-26,0240,Terra,MODIS,90,6.1,320.8,33.7
-25.168,114.906,303.1,1,1,2015-11-28,1745,Aqua,MODIS,53,6.1,292.4,5.3
-25.184,114.9,348.8,1.5,1.2,2015-11-29,0553,Aqua,MODIS,89,6.1,322.7,54
-25.171,114.897,339,1.8,1.3,2015-12-01,0258,Terra,MODIS,58,6.1,322,26.1
-25.183,114.896,346.9,1.8,1.3,2015-12-01,0258,Terra,MODIS,83,6.1,322.6,62.3
-25.195,114.894,365.3,1.8,1.3,2015-12-01,0258,Terra,MODIS,100,6.1,322.6,178.1
-25.221,114.907,347.7,2.5,1.5,2015-12-02,0203,Terra,MODIS,91,6.1,312.9,138.2
-25.235,114.904,346.4,2.5,1.5,2015-12-02,0203,Terra,MODIS,90,6.1,310.8,131.3
-25.227,114.9,360.4,2.5,1.5,2015-12-02,0203,Terra,MODIS,100,6.1,313.1,255.5
-25.224,114.942,345,1.2,1.1,2015-12-02,0623,Aqua,MODIS,87,6.1,325.9,21.4
-25.226,114.93,368.7,1.2,1.1,2015-12-02,0623,Aqua,MODIS,100,6.1,328.7,99.7
-25.216,114.928,350.2,1.2,1.1,2015-12-02,0623,Aqua,MODIS,92,6.1,325.7,32.7
-25.305,114.891,353.4,1.2,1.1,2015-12-02,0623,Aqua,MODIS,95,6.1,310.8,60.2
-25.234,114.944,352.9,1.2,1.1,2015-12-02,0623,Aqua,MODIS,94,6.1,325.5,44.5
-25.244,114.946,354.5,1.2,1.1,2015-12-02,0623,Aqua,MODIS,96,6.1,323.4,52
-25.321,114.991,342.4,1,1,2015-12-04,0611,Aqua,MODIS,83,6.1,320.9,19.5
-25.322,114.982,341.3,1,1,2015-12-04,0611,Aqua,MODIS,82,6.1,323.1,17.4
-24.382,114.116,313,1.3,1.1,2012-01-09,1453,Terra,MODIS,21,6.1,283.1,18.3
-24.222,114.094,319.7,1.3,1.1,2012-01-09,1453,Terra,MODIS,99,6.1,296.6,15.4
-24.228,114.134,314.2,1.3,1.1,2012-01-09,1453,Terra,MODIS,29,6.1,296.8,10
-24.551,114.122,342.9,1,1,2012-01-10,0611,Aqua,MODIS,76,6.1,305,31
-24.55,114.132,335.2,1,1,2012-01-10,0611,Aqua,MODIS,46,6.1,302.8,18.5
-24.569,114.131,403.2,1,1,2012-01-10,0611,Aqua,MODIS,100,6.1,316.1,257.3
-24.57,114.122,403.1,1,1,2012-01-10,0611,Aqua,MODIS,94,6.1,311.4,258.4
-24.567,114.141,401.1,1,1,2012-01-10,0611,Aqua,MODIS,100,6.1,317.2,244.7
-24.576,114.143,376.6,1,1,2012-01-10,0611,Aqua,MODIS,100,6.1,313,123.6
-24.356,114.077,345.5,1,1,2012-01-10,0611,Aqua,MODIS,85,6.1,305.4,39.2
-24.18,114.085,353.7,1,1,2012-01-10,0611,Aqua,MODIS,73,6.1,299.8,53.8
-24.617,114.072,326.9,2.2,1.4,2012-01-10,1536,Terra,MODIS,100,6.1,285.7,76.5
-24.113,114.098,318.6,2.1,1.4,2012-01-11,1441,Terra,MODIS,56,6.1,293.7,35.7
-24.141,114.08,311.5,2.1,1.4,2012-01-11,1441,Terra,MODIS,17,6.1,293.6,19.3
-24.114,114.092,325.6,2.1,1.4,2012-01-11,1441,Terra,MODIS,87,6.1,294.1,55.2
-24.066,114.103,355.4,3.3,1.7,2012-01-12,0315,Terra,MODIS,97,6.1,297.2,336.5
-24.108,114.093,332.5,3.3,1.7,2012-01-12,0315,Terra,MODIS,85,6.1,299.6,89.7
-24.113,114.098,328.9,3.3,1.7,2012-01-12,0315,Terra,MODIS,73,6.1,299.7,61.3
-24.15,114.083,339,3.3,1.7,2012-01-12,0316,Terra,MODIS,86,6.1,301,141.3
-24.155,114.089,333.9,3.3,1.7,2012-01-12,0316,Terra,MODIS,82,6.1,300.7,95.8
-24.184,114.112,327.3,3.3,1.7,2012-01-12,0316,Terra,MODIS,53,6.1,301.5,49.6
-24.084,114.074,341.2,1.3,1.1,2012-01-12,0559,Aqua,MODIS,85,6.1,300.6,46.5
-24.104,114.077,335.5,1.3,1.1,2012-01-12,0559,Aqua,MODIS,42,6.1,307,32.2
-24.184,114.148,334.4,2.3,1.5,2012-01-13,0642,Aqua,MODIS,80,6.1,304.4,54.6
-24.175,114.123,335,2.3,1.5,2012-01-13,0642,Aqua,MODIS,54,6.1,306.8,61.7
-24.645,114.114,342.5,2.1,1.4,2012-01-14,0546,Aqua,MODIS,88,6.1,298.6,131.5
-24.084,114.152,334.8,3.4,1.7,2012-01-16,0534,Aqua,MODIS,70,6.1,304.6,92.2
-24.058,114.145,308.3,1.1,1,2012-01-16,1459,Terra,MODIS,72,6.1,296.2,5.8
-24.115,114.144,343,1,1,2012-01-17,0617,Aqua,MODIS,81,6.1,318,14.3
-24.681,114.074,337.6,1.6,1.3,2012-02-22,0553,Aqua,MODIS,77,6.1,313.9,21.9
-24.669,114.073,339.2,1.6,1.3,2012-02-22,0553,Aqua,MODIS,77,6.1,314,25.8
-24.706,114.101,340.1,1,1,2012-02-27,0611,Aqua,MODIS,51,6.1,321.5,13.2
-24.705,114.111,342.2,1,1,2012-02-27,0611,Aqua,MODIS,68,6.1,321.7,16.4
-24.702,114.131,342,1,1,2012-02-27,0611,Aqua,MODIS,57,6.1,321,16.3
-24.672,114.146,353,1,1,2012-02-27,0611,Aqua,MODIS,94,6.1,320.8,39.5
-24.691,114.078,345.6,1,1,2012-02-27,0611,Aqua,MODIS,87,6.1,322.9,23
-22.395,114.07,323.9,4.1,1.9,2012-11-26,0654,Aqua,MODIS,73,6.1,300.2,58.1
-27.259,114.102,365.7,1.5,1.2,2014-01-11,0635,Aqua,MODIS,100,6.1,325.5,139.5
-27.256,114.117,452.8,1.5,1.2,2014-01-11,0635,Aqua,MODIS,100,6.1,342.8,1354.1
-27.254,114.133,415.7,1.5,1.2,2014-01-11,0635,Aqua,MODIS,100,6.1,324.9,628.2
-27.246,114.115,341.5,1.5,1.2,2014-01-11,0635,Aqua,MODIS,73,6.1,321.1,33.5
-27.253,114.126,436.3,1.5,1.2,2014-01-11,0635,Aqua,MODIS,100,6.1,335.9,985.4
-27.25,114.141,338.4,1.5,1.2,2014-01-11,0635,Aqua,MODIS,58,6.1,319.2,24
-27.242,114.123,339.9,1.5,1.2,2014-01-11,0635,Aqua,MODIS,80,6.1,321,28.5
-27.192,114.118,350.1,1.7,1.3,2014-01-12,0258,Terra,MODIS,92,6.1,314.8,84
-27.194,114.135,352.3,1.7,1.3,2014-01-12,0258,Terra,MODIS,94,6.1,318.3,96.1
-27.215,114.154,336.7,2.9,1.6,2014-01-12,0540,Aqua,MODIS,66,6.1,309.3,84.3
-27.202,114.123,335.8,2.9,1.6,2014-01-12,0540,Aqua,MODIS,34,6.1,313,74.4
-27.173,114.12,343.2,2.9,1.6,2014-01-12,0540,Aqua,MODIS,84,6.1,311.3,137
-27.188,114.121,354.7,2.9,1.6,2014-01-12,0540,Aqua,MODIS,96,6.1,313,245.6
