latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
-29.127,114.998,315.5,2.1,1.4,2012-05-21,0546,Aqua,MODIS,56,6.1,303.6,17.3
-28.682,114.932,322.2,1.1,1,2012-05-25,0240,Terra,MODIS,80,6.1,295.7,19.1
-28.815,114.906,308.3,1,1,2012-05-27,0228,Terra,MODIS,57,6.1,296.6,4.4
-28.639,114.947,327.3,1.6,1.3,2012-05-28,0552,Aqua,MODIS,81,6.1,302.2,37.7
-28.65,114.948,330,1.6,1.3,2012-05-28,0552,Aqua,MODIS,83,6.1,302.5,44.2
-28.1,114.891,303.3,1,1,2012-05-30,1504,Terra,MODIS,54,6.1,281.2,9
-29.179,114.913,323.9,1,1,2012-06-02,0610,Aqua,MODIS,72,6.1,300.6,16.4
-29.293,114.967,315.5,1.1,1.1,2012-08-30,0604,Aqua,MODIS,58,6.1,301.4,10.4
-29.191,114.992,323.6,1.3,1.1,2012-09-08,0557,Aqua,MODIS,74,6.1,305.9,20.4
-30.029,114.997,324.4,1.7,1.3,2012-11-15,0252,Terra,MODIS,57,6.1,308.6,21.5
-28.682,115.005,325.6,1.3,1.1,2013-03-22,0629,Aqua,MODIS,41,6.1,311.6,10.6
-28.715,114.999,325.7,1.3,1.1,2013-03-22,0629,Aqua,MODIS,43,6.1,309.8,13.3
-28.605,114.988,335,1,1,2013-04-02,0611,Aqua,MODIS,71,6.1,318.5,13.2
-28.612,114.956,333.8,1,1,2013-04-03,0234,Terra,MODIS,79,6.1,311.8,18.9
-28.605,114.964,339.5,1,1,2013-04-03,0234,Terra,MODIS,85,6.1,312.2,26.7
-28.614,114.966,332,1,1,2013-04-03,0234,Terra,MODIS,76,6.1,311.8,15.9
-28.082,114.91,340.5,1,1,2013-04-03,0234,Terra,MODIS,87,6.1,313.4,27
-29.001,114.997,326.2,2.1,1.4,2013-04-05,0642,Aqua,MODIS,72,6.1,303,40.2
-28.286,114.898,322.2,1.1,1,2013-04-26,0240,Terra,MODIS,67,6.1,308,7.9
-29.18,114.927,304.6,1.1,1,2013-05-12,0240,Terra,MODIS,55,6.1,294,4.2
