latitude,longitude
-20.752,119.618
-20.783,119.617
-20.732,119.575
-20.731,119.585
-20.667,119.576
-20.759,119.574
-20.633,119.521
-20.62,119.536
-20.622,119.52
-21.364,119.953
-21.371,119.95
-21.365,119.943
-21.365,119.951
-21.353,119.952
-21.362,119.946
-21.394,119.981
-21.385,119.97
-21.382,119.979
-21.384,119.964
-21.394,119.986
-21.391,119.99
-21.373,119.955
-21.364,119.956
-21.4,120
-21.397,119.964
-21.394,119.927
-21.377,119.929
-21.388,119.934
-21.401,119.975
-21.399,119.985
-21.402,119.965
-21.403,119.954
-21.412,119.997
-21.41,119.984
-21.41,120
-21.42,119.998
-21.041,118.888
-21.04,118.899
-21.043,118.877
-21.044,118.889
-21.046,118.882
-21.073,118.839
-21.079,118.838
-21.056,118.843
-21.045,118.834
-21.046,118.844
-21.818,120.413
-21.822,120.407
-21.838,120.467
-21.919,120.562
-21.905,120.563
-21.215,120.25
-21.444,120.015
-21.411,120.013
-21.422,120.012
-21.724,118.677
-21.72,118.684
-21.761,118.744
-21.759,118.731
-21.668,118.678
-20.89,118.835
-20.892,118.823
-20.882,118.821
-20.86,118.827
-20.86,118.832
-20.86,118.825
-20.871,118.834
-20.869,118.824
-20.778,119.594
-20.764,119.607
-20.82,119.59
-20.804,119.566
-20.819,119.6
-20.803,119.577
-20.809,119.599
-20.801,119.587
-20.813,119.567
-20.812,119.578
-20.811,119.588
-20.765,119.596
-20.757,119.584
-20.76,119.62
-20.808,119.619
-20.794,119.628
-20.793,119.616
-21.193,120.27
-21.036,120.198
-21.038,120.211
-21,120.258
-20.998,120.24
-20.998,120.237
-21.008,120.259
-21.206,120.269
-21.21,120.275
-20.966,120.017
-21.374,119.893
-21.368,119.899
-21.372,119.859
-21.371,119.87
-21.368,119.891
-21.367,119.901
-21.37,119.88
-21.108,120.079
-21.107,120.09
-21.11,120.069
-21.1,120.068
-21.01,120.092
-21.008,120.107
-21.098,120.109
-21.102,120.101
-21.099,120.116
-21.11,120.118
-21.011,120.086
-20.997,120.104
-20.994,120.119
-21.008,120.101
-20.999,120.09
-20.995,120.114
-21,120.084
-20.997,120.099
-20.984,120.112
-21.117,120.143
-21.895,118.935
-21.904,118.937
-21.872,118.899
-21.896,118.925
-21.887,118.923
-21.851,120.168
-21.851,120.178
-21.858,120.163
-21.871,120.173
-21.87,120.183
-21.853,120.17
-23.139,120.766
-23.056,120.63
-23.05,120.641
-21.905,120.597
-21.904,120.606
-21.902,120.616
-21.905,120.615
-21.925,120.594
-21.919,120.623
-21.914,120.631
-21.08,118.807
-21.889,120.625
-21.892,120.644
-21.89,120.634
-21.868,120.624
-21.871,120.633
-21.872,120.632
-20.373,118.475
-20.378,118.466
-20.376,118.464
-20.399,118.493
-20.397,118.482
-20.393,118.489
-20.392,118.479
-20.384,118.491
-20.38,118.477
-20.382,118.435
-20.366,118.438
-20.37,118.43
-20.378,118.452
-20.388,118.454
-20.368,118.45
-21.773,114.945
-21.77,114.962
-21.767,114.949
-22.527,113.959
-22.526,113.948
-22.522,113.955
-22.5,113.957
-22.499,113.947
-22.512,113.964
-22.51,113.959
-22.507,113.928
-22.608,113.871
-22.62,113.89
-21.122,116.064
-21.124,116.053
-21.133,116.075
-21.16,116.079
-21.132,116.084
-21.162,116.069
-21.163,116.059
-21.168,116.076
-21.158,116.074
-20.626,117.994
-20.617,117.955
-20.609,117.998
-20.628,117.986
-20.611,117.99
-20.61,117.967
-20.608,117.978
-20.61,117.973
-24.433,114.687
-24.435,114.675
-24.422,114.674
-18.168,127.758
-18.772,126.596
-18.766,126.597
-18.474,127.577
-18.314,128.004
-18.778,128.666
-18.782,126.589
-18.784,126.571
-20.256,126.571
-20.255,126.56
-20.252,126.538
-20.299,128.232
-20.3,128.237
-19.892,128.299
-19.891,128.288
-19.61,127.666
-19.611,127.656
-19.705,127.467
-19.686,127.647
-19.68,127.68
-19.964,127.529
-19.987,127.482
-19.989,127.495
-19.979,127.489
-20.109,127.664
-19.976,127.532
-20.138,127.577
-19.707,126.842
-19.614,126.843
-19.808,127.535
-19.806,127.547
-19.921,128.197
-19.984,128.162
-19.988,128.157
-19.986,128.168
-19.886,128.207
-19.971,128.203
-19.124,126.157
-19.12,126.177
-20.089,128.047
-19.987,127.432
-19.986,127.441
-20.143,127.553
-19.798,127.534
-19.806,127.557
-17.797,125.213
-17.784,125.214
-17.8,125.234
-17.797,125.227
-17.795,125.206
-17.802,125.205
-17.85,125.23
-17.814,125.194
-17.814,125.189
-17.824,125.19
-17.84,125.229
-17.794,125.191
-17.789,125.228
-17.804,125.193
-17.795,125.179
-17.794,125.17
-17.805,125.172
-17.773,125.166
-17.783,125.168
-17.781,125.183
-17.771,125.179
-17.788,125.178
-17.862,125.211
-17.858,125.189
-17.801,125.178
-17.832,125.195
-17.83,125.179
-17.844,125.182
-17.848,125.159
-17.857,125.185
-17.853,125.208
-17.851,125.191
-17.834,125.156
-17.817,125.176
-17.814,125.162
-17.807,125.167
-17.807,125.164
-17.775,125.114
-17.766,125.139
-17.772,125.145
-17.768,125.123
-17.78,125.137
-17.765,125.112
-17.781,125.114
-17.785,125.12
-17.783,125.108
-17.773,125.109
-17.805,125.114
-17.77,125.09
-17.78,125.102
-16.692,125.381
-16.694,125.376
-16.69,125.416
-16.703,125.414
-16.698,125.412
-16.708,125.414
-16.699,125.32
-16.696,125.416
-16.688,125.399
-16.686,125.409
-16.696,125.41
-16.695,125.4
-16.693,125.389
-15.285,125.069
-15.278,125.071
-15.281,125.056
-17.922,125.261
-17.921,125.27
-16.03,125.101
-16.674,125.29
-17.903,125.295
-17.904,125.26
-17.9,125.304
-17.917,125.314
-17.883,125.306
-17.916,125.287
-17.849,125.305
-17.819,125.271
-17.83,125.269
-17.836,125.24
-17.851,125.265
-17.838,125.254
-17.848,125.252
-17.833,125.284
-17.832,125.28
-17.852,125.243
-17.849,125.242
-17.838,125.241
-17.87,125.255
-17.882,125.287
-17.948,125.362
-17.958,125.377
-17.949,125.391
-17.957,125.377
-17.962,125.385
-17.964,125.373
-17.968,125.337
-17.961,125.312
-17.96,125.324
-17.951,125.395
-17.963,125.331
-17.951,125.403
-17.982,125.36
-17.98,125.369
-17.979,125.367
-17.98,125.38
-17.994,125.369
-17.951,125.414
-17.973,125.418
-17.996,125.355
-17.985,125.405
-17.978,125.425
-17.986,125.415
-17.997,125.364
-17.999,125.374
-17.741,125.086
-16.055,125.092
-17.917,125.305
-17.893,125.315
-17.886,125.332
-17.891,125.326
-17.879,125.349
-17.928,125.391
-17.89,125.341
-17.92,125.384
-17.931,125.372
-17.929,125.382
-17.919,125.393
-17.899,125.342
-17.885,125.311
-17.882,125.33
-17.878,125.291
-17.883,125.32
-17.863,125.308
-17.868,125.315
-17.883,125.393
-17.929,125.312
-17.885,125.38
-17.887,125.389
-17.883,125.271
-17.883,125.276
-16.697,125.424
-16.707,125.425
-16.695,125.423
-16.698,125.432
-16.709,125.426
-16.698,125.43
-16.693,125.443
-17.821,125.284
-17.823,125.317
-17.838,125.326
-16.637,125.409
-16.638,125.397
-15.876,125.841
-15.512,126.156
-15.513,126.166
-15.521,126.155
-15.522,126.165
-15.53,126.154
-15.539,126.152
-15.529,126.166
-15.538,126.182
-15.556,126.161
-15.551,126.185
-15.554,126.185
-15.557,126.19
-15.554,126.175
-15.56,126.191
-15.58,126.187
-15.578,126.199
-15.581,126.175
-15.568,126.198
-15.568,126.204
-15.528,126.207
-15.541,126.195
-15.511,126.197
-15.51,126.204
-15.567,126.214
-15.556,126.228
-15.561,126.204
-15.547,126.202
-15.502,126.162
-15.494,126.151
-15.501,126.188
-15.492,126.191
-15.475,126.692
-15.49,126.689
-15.774,125.686
-15.756,125.692
-15.754,125.647
-15.751,125.627
-15.423,125.973
-15.422,125.969
-15.431,125.97
-15.778,125.698
-15.773,125.704
-15.755,125.702
-15.764,125.703
-15.567,126.131
-15.567,126.127
-15.558,126.042
-15.556,126.054
-15.578,126.113
-15.589,126.115
-15.572,126.093
-15.579,126.119
-15.582,126.089
-15.58,126.101
-15.581,126.107
-15.582,126.095
-15.424,126.094
-15.437,126.101
-15.433,126.08
-15.44,126.11
-15.439,126.097
-15.452,126.081
-15.471,126.115
-15.469,126.106
-15.468,126.096
-15.459,126.082
-15.478,126.063
-15.475,126.089
-15.477,126.058
-15.46,126.087
-15.474,126.084
-15.479,126.1
-15.477,126.109
-15.481,126.081
-15.48,126.091
-15.473,126.071
-15.472,126.08
-15.471,126.089
-15.47,126.048
-15.473,126.041
-15.477,126.061
-15.486,126.06
-15.485,126.049
-15.483,126.039
-15.488,126.07
-15.907,125.797
-15.899,125.801
-15.91,125.798
-15.773,125.714
-15.703,125.707
-15.693,125.708
-15.853,125.867
-15.843,125.875
-15.841,125.884
-15.821,125.882
-15.824,125.904
-15.823,125.875
-15.784,125.702
-15.473,126.704
-15.49,126.729
-15.595,126.205
-15.511,126.101
-15.509,126.096
-15.513,126.109
-15.512,126.098
-15.508,126.077
-15.501,126.089
-15.499,126.079
-15.497,126.069
-15.525,126.117
-15.523,126.107
-15.513,126.064
-15.512,126.076
-15.526,126.11
-15.536,126.111
-15.535,126.123
-15.525,126.122
-15.538,126.099
-15.523,126.134
-15.504,126.137
-15.513,126.133
-15.528,126.097
-15.511,126.145
-15.515,126.127
-15.52,126.072
-15.514,126.139
-15.546,126.136
-15.537,126.133
-15.545,126.126
-15.532,126.105
-15.531,126.096
-15.543,126.117
-15.542,126.107
-15.547,126.145
-15.545,126.132
-15.524,126.076
-15.532,126.081
-15.518,126.05
-15.51,126.04
-15.509,126.049
-15.55,126.063
-15.551,126.069
-15.538,126.045
-15.536,126.065
-15.551,126.046
-15.542,126.052
-15.544,126.069
-15.441,126.164
-15.444,126.146
-15.447,126.128
-15.45,126.191
-15.459,126.165
-15.458,126.156
-15.451,126.176
-15.456,126.146
-15.468,126.138
-15.465,126.164
-15.471,126.156
-15.469,126.165
-15.476,126.119
-15.472,126.146
-15.475,126.128
-15.473,126.137
-15.464,126.136
-15.458,126.182
-15.46,126.164
-15.463,126.145
-15.462,126.154
-15.449,126.181
-15.479,126.136
-15.48,126.173
-15.487,126.185
-15.472,126.03
-15.468,126.037
-15.467,126.027
-15.481,126.029
-15.497,126.025
-15.496,126.009
-15.504,126.02
-15.54,126.021
-15.514,126.021
-15.512,126.005
-15.503,126.022
-15.506,126.011
-15.501,126.006
-15.53,126.013
-15.506,125.999
-15.667,125.72
-15.684,125.726
-15.558,126.03
-14.655,127.441
-14.659,127.444
-14.66,127.435
-14.479,126.623
-14.899,126.108
-14.911,126.095
-14.904,126.07
-14.902,126.082
-14.535,127.799
-14.55,127.867
-14.549,127.84
-14.548,127.83
-14.553,127.835
-14.556,127.798
-14.555,127.808
-14.557,127.886
-14.915,125.794
-14.908,125.818
-14.764,126.239
-14.77,126.237
-14.662,126.289
-14.698,126.31
-14.678,126.307
-14.683,126.3
-14.68,126.303
-14.671,126.297
-14.662,126.295
-14.632,126.3
-14.699,126.187
-14.682,126.222
-14.692,126.22
-14.692,126.211
-14.694,126.196
-14.662,126.193
-14.659,126.212
-14.647,126.21
-14.667,126.191
-14.656,126.237
-14.647,126.239
-14.627,126.232
-14.648,126.248
-14.626,126.223
-14.625,126.213
-14.668,126.201
-14.624,126.216
-14.64,126.24
-14.621,126.24
-14.623,126.236
-14.576,127.29
-14.58,127.319
-14.577,127.328
-14.534,127.317
-14.523,127.315
-14.673,126.808
-14.675,126.799
-14.659,126.764
-14.622,126.508
-14.625,126.524
-14.607,126.528
-14.606,126.518
-14.612,126.51
-14.577,126.768
-14.022,126.764
-14.495,127.4
