latitude,longitude
-27.907,114.202
-28.702,114.716
-28.494,114.776
-20.777,118.941
-20.776,118.951
-20.775,118.966
-20.777,118.959
-20.773,118.98
-20.764,118.956
-20.762,118.903
-20.765,118.991
-20.561,119
-20.557,119.007
-20.636,119.45
-20.645,119.452
-20.644,119.462
-20.653,119.464
-20.662,119.465
-20.661,119.476
-20.637,119.44
-20.686,118.673
-20.626,119.449
-20.627,119.458
-20.628,119.451
-20.621,119.521
-20.667,119.322
-20.62,119.328
-20.885,119.724
-20.895,119.721
-20.893,119.731
-20.886,119.695
-20.884,119.707
-20.883,119.701
-20.868,119.718
-20.873,119.711
-20.832,118.88
-20.823,118.878
-20.805,118.875
-20.804,118.885
-20.81,118.906
-20.814,118.877
-20.763,118.892
-20.767,118.872
-20.785,118.867
-20.688,118.663
-20.845,118.726
-20.847,118.739
-32.038,118.797
-32.036,118.809
-32.033,118.803
-32.046,118.81
-32.047,118.798
-32.108,118.806
-32.047,118.88
-21.439,118.965
-20.903,119.71
-20.905,119.699
-20.903,119.716
-20.801,119.353
-20.799,119.343
-20.797,119.333
-20.825,119.343
-20.835,119.345
-20.833,119.355
-21.451,119.507
-21.442,119.509
-20.945,118.831
-20.947,118.843
-21.191,119.958
-21.185,119.964
-21.178,119.955
-21.168,119.964
-21.17,119.981
-33.906,120.244
-33.846,120.261
-21.658,118.66
-21.167,118.591
-21.162,118.59
-21.165,118.565
-34.106,119.022
-31.828,119.114
-34.374,119.061
-34.341,119.225
-34.339,119.238
-33.072,119.703
-21.037,119.977
-21.05,119.964
-21.048,119.979
-21.04,119.969
-21.012,120.004
-21.039,119.962
-21.049,119.985
-21.038,119.983
-21.051,119.97
-21.044,119.986
-21.043,119.975
-21.048,119.979
-21.047,119.968
-21.038,119.967
-21.048,119.958
-21.391,120.085
-21.393,120.06
-33.495,120.773
-33.493,120.781
-32.179,118.633
-32.129,118.605
-34.409,118.576
-20.895,118.923
-20.884,119.004
-20.792,118.978
-20.898,118.916
-20.788,118.933
-20.809,118.916
-20.786,118.943
-20.805,118.946
-20.803,118.955
-20.802,118.965
-20.821,118.958
-20.823,118.948
-20.812,118.957
-20.814,118.947
-20.802,118.895
-20.784,118.989
-20.788,118.968
-20.792,118.948
-20.786,118.983
-20.79,118.962
-20.794,118.973
-20.812,118.977
-21.704,119.124
-21.747,120.097
-21.731,120.089
-21.73,120.099
-33.759,120.675
-21.801,119.204
-21.797,119.181
-21.818,119.199
-20.854,118.892
-20.857,118.887
-20.921,118.899
-20.843,118.871
-20.893,118.895
-20.895,118.885
-21.771,119.189
-21.816,119.219
-21.795,119.169
-21.781,119.19
-21.805,119.189
-21.81,119.186
-21.82,119.188
-21.785,119.201
-21.782,119.19
-20.915,119.989
-21.77,120.12
-20.981,120.074
-20.978,120.073
-20.984,120.082
-20.986,120.072
-20.996,120.064
-20.995,120.074
-20.994,120.084
-20.97,120.089
-20.955,120.065
-20.967,120.076
-20.957,120.078
-20.963,120.07
-21.008,120.088
-20.973,120.068
-20.965,120.083
-21.006,120.075
-20.975,120.081
-21.014,120.087
-21.012,120.065
-21.01,120.081
-21.02,120.097
-21.021,120.083
-21.008,120.074
-21.007,120.079
-21.388,120.054
-21.386,120.079
-20.887,119.663
-20.891,119.669
-34.398,119.292
-34.404,119.288
-34.396,119.315
-21.456,119.564
-21.454,119.554
-21.445,119.556
-21.444,119.546
-21.462,119.514
-21.453,119.528
-21.452,119.516
-21.443,119.52
-21.455,119.529
-21.453,119.518
-21.434,119.513
-21.434,119.513
-20.822,119.187
-20.818,119.191
-20.862,119.14
-21.757,120.108
-21.756,120.094
-20.926,118.847
-20.928,118.859
-21.07,118.165
-21.079,118.166
-21.072,118.155
-23.098,117.947
-21.522,118.46
-21.517,118.466
-21.063,118.187
-21.078,118.173
-21.061,118.18
-21.079,118.178
-21.069,118.174
-21.077,118.185
-21.078,118.176
-21.161,118.585
-21.171,118.573
-21.16,118.546
-21.157,118.571
-20.479,118.207
-20.47,118.208
-21.654,118.678
-21.168,118.325
-21.169,118.319
-21.184,118.331
-21.173,118.329
-20.464,118.276
-20.462,118.265
-20.453,118.267
-20.455,118.278
-20.667,117.054
-20.697,117.118
-22.59,117.48
-20.644,116.784
-20.598,116.782
-20.6,116.78
-21.826,115.976
-20.597,116.782
-20.594,116.781
-20.594,116.781
-20.645,116.772
-20.651,116.776
-20.592,116.777
-20.594,116.788
-20.593,116.778
-20.594,116.781
-14.494,131.535
-14.484,131.533
-14.473,131.532
-14.471,131.544
-14.478,131.574
-14.476,131.564
-14.479,131.524
-14.496,131.556
-14.501,131.422
-14.5,131.414
-14.499,131.595
-14.499,131.4
-14.5,131.546
-14.504,131.408
-14.494,131.496
-14.492,131.484
-14.381,129.5
-14.369,129.51
-14.378,133.357
-14.385,133.38
-14.42,129.44
-14.43,129.441
-14.428,129.453
-14.366,132.973
-14.306,132.81
-14.3,132.767
-14.303,132.762
-14.377,133.114
-14.368,132.825
-14.313,132.836
-14.374,132.814
-14.357,133.146
-14.376,132.812
-14.323,132.736
-14.322,132.748
-14.325,132.676
-14.337,133.007
-14.313,132.996
-14.358,133
-14.304,132.995
-14.319,132.62
