latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
-21.699,114.994,305.3,1,1,2017-09-07,1737,Aqua,MODIS,64,6.1,291,7.3
-21.701,115.004,303,1,1,2017-09-07,1737,Aqua,MODIS,53,6.1,290.7,5.7
-21.701,114.988,335.9,2.1,1.4,2017-09-08,0303,Terra,MODIS,86,6.1,299.4,83.2
-21.702,115.003,345.9,2.1,1.4,2017-09-08,0303,Terra,MODIS,81,6.1,299.4,133.3
-21.696,114.998,338.3,1.2,1.1,2017-09-08,1513,Terra,MODIS,100,6.1,292.9,49.8
-21.693,114.988,333,2.3,1.5,2017-09-09,0208,Terra,MODIS,62,6.1,302.3,80
-21.703,115.002,340.3,1.8,1.3,2017-09-09,0630,Aqua,MODIS,81,6.1,307.2,71.4
-21.706,114.985,339.4,1.8,1.3,2017-09-09,0630,Aqua,MODIS,81,6.1,309.3,66.8
-21.695,115.003,333.7,1.4,1.2,2017-09-09,1725,Aqua,MODIS,100,6.1,293.7,57.4
-21.697,114.988,332.9,1.3,1.1,2017-09-10,0251,Terra,MODIS,78,6.1,310.5,29.5
-21.704,114.989,334.3,1.1,1.1,2017-09-11,0618,Aqua,MODIS,75,6.1,310.1,29
-21.693,114.988,315.6,2.3,1.5,2017-09-11,1713,Aqua,MODIS,92,6.1,290.3,47.8
-21.698,115.003,349.5,1,1,2017-09-12,0239,Terra,MODIS,88,6.1,307.7,50.3
-21.703,114.978,330.7,4.7,2,2017-09-12,0523,Aqua,MODIS,56,6.1,307,164.2
-21.705,114.97,328.2,4.7,2,2017-09-12,0523,Aqua,MODIS,53,6.1,307.2,135.8
-21.696,114.991,335.3,1.3,1.1,2017-09-12,1756,Aqua,MODIS,100,6.1,291.7,54.8
-21.697,114.999,355.3,1,1,2017-09-13,0606,Aqua,MODIS,91,6.1,310.8,64.3
-21.694,114.988,341.7,1.2,1.1,2017-09-14,0226,Terra,MODIS,82,6.1,310.6,43.2
-21.696,114.999,363.9,1.2,1.1,2017-09-14,0226,Terra,MODIS,87,6.1,311.4,107.6
-21.701,114.99,328.9,2.2,1.4,2017-09-14,1436,Terra,MODIS,100,6.1,292.4,87.5
-21.69,114.992,332.2,1,1,2017-09-14,1743,Aqua,MODIS,100,6.1,291.3,32.8
-21.7,115.003,326.5,1,1,2017-09-14,1743,Aqua,MODIS,100,6.1,293,25.8
-21.694,114.99,336.8,2.8,1.6,2017-09-15,0309,Terra,MODIS,63,6.1,309.3,100.7
-21.696,114.983,309.5,1.4,1.2,2017-09-15,1519,Terra,MODIS,78,6.1,291.3,15.1
-21.696,115.005,319.8,4.6,2,2017-09-15,1826,Aqua,MODIS,99,6.1,290.2,176.9
-21.695,115.003,318.4,3.6,1.8,2017-09-16,1424,Terra,MODIS,97,6.1,294.1,102.5
-21.698,114.968,310.2,3.7,1.8,2017-09-16,1424,Terra,MODIS,79,6.1,293.2,59
-21.696,114.989,317.5,1.2,1.1,2017-09-16,1731,Aqua,MODIS,95,6.1,294,18.1
-21.701,115,352,1.6,1.3,2017-09-17,0257,Terra,MODIS,95,6.1,314,105.9
-21.698,114.997,338.1,2.2,1.4,2017-09-17,0541,Aqua,MODIS,66,6.1,316,71.6
-21.695,114.989,336.9,3,1.6,2017-09-18,0202,Terra,MODIS,0,6.1,308.1,123.7
-21.705,115.001,342.1,1.4,1.2,2017-09-18,0624,Aqua,MODIS,80,6.1,315.2,50.3
-21.701,115.004,315.6,1.8,1.3,2017-09-18,1719,Aqua,MODIS,91,6.1,292.5,33.3
-21.703,115.001,306.3,1.1,1,2017-09-19,1455,Terra,MODIS,42,6.1,295.8,6.3
-21.695,114.989,331.3,1.1,1,2017-09-19,1455,Terra,MODIS,100,6.1,295.6,33.3
