latitude,longitude
-21.25,119.36
-21.005,116.89
-20.986,116.887
-20.988,116.872
-21.027,116.91
-14.312,130.882
-13.561,131.418
-13.879,131.154
-13.855,131.132
-13.614,131.493
-13.999,130.273
-13.308,131.2
-13.518,131.752
-13.081,131.467
-12.799,130.818
-12.789,130.816
-13.378,130.647
-14.184,131.05
-14.194,131.052
-14.213,130.994
-14.048,130.941
-13.805,131.818
-14.252,131.067
-14.261,130.946
-13.13,130.192
-13.241,131.183
-13.254,131.172
-13.218,130.614
-13.792,131.83
-13.779,131.842
-14.01,130.984
-13.993,130.957
-13.81,131.586
-13.772,131.883
-17.106,132.166
-18.647,130.199
-18.646,130.209
-18.619,130.158
-18.327,130.427
-18.329,130.417
-18.35,127.558
-18.335,127.578
-18.326,127.541
-18.33,127.57
-18.542,125.072
-18.545,125.078
-18.544,125.093
-17.968,124.807
-17.975,124.798
-17.973,124.811
-17.895,124.928
-17.888,124.944
-17.472,124.69
-17.459,124.762
-18.527,125.083
-17.5,124.706
-17.504,124.719
-17.488,124.772
-18.322,125.517
-18.344,125.488
-18.343,125.499
-18.341,125.511
-18.327,125.492
-18.325,125.507
-18.316,125.49
-16.174,125.189
-16.205,125.187
-16.212,125.439
-15.268,125.344
-15.267,125.355
-16.324,125.439
-16.175,125.178
-15.966,125.521
-15.968,125.51
-16.172,129.864
-16.17,129.857
-16.225,129.967
-15.928,129.946
-15.956,129.976
-15.92,129.836
-15.931,130.88
-16.004,131.004
-15.957,130.574
-16.072,130.639
-16.147,130.541
-16.166,130.544
-16.093,130.351
-16.293,130.404
-16.125,130.428
-15.995,130.01
-16.082,130.041
-16.073,130.039
-16.02,130.035
-15.951,130.007
-16.028,130.84
-16.651,130.598
-16.353,130.083
-16.29,130.014
-16.475,129.943
-16.741,130.674
-16.739,130.684
-16.75,130.675
-16.749,130.686
-15.434,126.819
-15.44,126.805
-15.69,127.055
-15.682,126.853
-15.681,127.054
-15.689,127.065
-16.088,126.502
-15.645,129.153
-15.644,129.162
-15.642,126.501
-15.602,126.5
-15.647,126.517
-15.654,126.513
-15.652,126.523
-15.63,126.504
-15.634,126.475
-15.631,126.494
-15.994,126.176
-16.678,126.823
-15.78,126.468
-15.461,126.633
-15.458,126.609
-15.466,126.612
-15.444,126.584
-15.468,126.63
-15.815,125.881
-15.811,125.912
-15.806,125.88
-15.795,125.962
-15.782,125.695
-15.747,126.028
-15.749,126.018
-15.682,126.377
-15.705,126.34
-15.707,126.33
-15.465,126.622
-15.452,126.718
-15.459,126.477
-15.439,126.622
-15.46,126.467
-15.601,127.17
-15.602,127.161
-15.589,126.795
-15.583,126.805
-15.596,126.801
-16.411,126.332
-16.391,126.307
-16.182,125.901
-16.125,125.876
-16.361,126.318
-16.347,126.319
-16.36,126.327
-16.353,126.305
-16.589,126.299
-15.586,125.793
-15.578,125.781
-15.457,129.308
-15.455,129.318
-15.454,129.327
-16.306,125.948
-16.319,125.947
-16.318,125.948
-16.357,125.879
-16.358,125.868
-16.309,125.947
-16.807,126.266
-16.341,126.538
-16.335,126.577
-16.56,126.669
-16.559,126.679
-16.416,125.998
-16.389,126.001
-16.492,126.017
-16.413,126
-15.821,126.241
-15.908,126.198
-15.694,126.358
-15.685,126.488
-15.673,126.506
-15.692,126.368
-15.663,126.515
-15.928,126.623
-16.003,126.594
-15.933,126.693
-16.257,126.586
-15.506,129.356
-15.475,129.311
-15.487,129.293
-15.479,129.282
-15.82,125.904
-15.817,125.882
-15.81,125.922
-15.966,127.649
-15.973,127.652
-15.977,127.631
-16.115,125.633
-16.115,125.631
-15.541,126.474
-15.504,126.469
-15.515,126.461
-15.568,126.073
-16.544,126.105
-15.516,126.451
-15.524,126.462
-15.533,126.463
-15.506,126.459
-15.45,126.475
-15.965,126.598
-16.17,126.041
-15.535,127.17
-15.568,127.189
-15.552,127.195
-15.545,126.778
-15.536,127.174
-15.531,127.145
-15.569,127.182
-15.81,125.849
-15.575,125.799
-15.576,125.792
-15.902,126.031
-15.822,126.231
-15.744,126.801
-15.755,126.792
-15.584,125.803
-15.817,125.871
-15.814,125.891
-15.809,125.859
-15.807,125.869
-15.818,125.86
-16.146,126.08
-15.514,126.855
-15.542,126.811
-15.555,126.813
-15.584,126.798
-15.717,126.321
-15.708,126.32
-15.676,126.487
-15.675,126.496
-15.696,126.479
-15.628,126.514
-15.639,126.477
-15.683,126.437
-15.688,126.468
-15.684,126.428
-14.603,127.528
-14.182,127.125
-14.247,127.123
-14.246,127.132
-14.255,127.133
-14.229,127.12
-14.371,127.09
-14.371,127.024
-14.734,127.572
-14.742,127.237
-14.781,126.589
-14.772,126.588
-14.503,126.427
-14.493,126.411
-14.502,126.412
-14.426,126.895
-14.434,126.906
-14.616,126.5
-14.607,126.522
-14.372,127.014
-14.747,126.313
-14.529,126.426
-14.495,126.434
-14.636,125.567
-14.183,127.189
-14.228,127.261
-14.22,127.251
-14.456,126.947
-14.448,126.937
-14.485,126.996
-14.638,125.557
-14.518,126.434
-14.637,126.369
-14.636,126.379
-14.399,126.894
-14.39,126.893
-14.388,126.902
-14.539,126.418
-14.54,126.408
-14.913,126.237
-14.695,127.596
-14.377,126.194
-14.378,126.184
-14.773,126.593
-14.768,126.548
-14.739,127.224
-14.602,127.537
-14.422,127.123
-14.432,127.115
-14.36,127.164
-32.731,116.833
-17.975,123.485
-17.973,123.469
-17.975,123.475
-17.388,126.279
-16.947,126.313
-17.332,126.279
-17.323,126.277
-16.932,126.312
-16.93,126.323
-16.958,126.233
-16.953,126.239
-17.333,126.268
-17.332,126.204
-17.395,126.272
-15.239,131.366
-15.383,126.288
-15.416,126.613
-15.25,127.179
-15.249,127.189
-15.342,126.522
-15.357,126.345
-15.306,126.615
-15.317,126.712
-15.31,126.616
-15.441,126.795
-15.336,126.15
-15.307,126.038
-15.308,126.099
-15.29,126.097
-15.256,126.013
-15.272,126.012
-15.387,129.411
-15.367,126.406
-15.355,126.355
-15.356,126.071
-15.412,126.621
-15.263,125.827
-15.276,125.797
-15.3,126.752
-15.318,126.696
-15.32,126.608
-15.368,126.397
-15.299,126.098
-15.267,126.535
-15.352,126.514
-28.372,114.523
-31.961,116.73
-16.213,125.429
-15.486,125.586
-15.511,125.595
-15.997,125.607
-15.48,125.573
-15.969,125.516
