latitude,longitude
-20.835,118.661
-20.832,118.656
-20.868,118.591
-20.85,118.645
-20.837,118.643
-22.881,118.047
-22.799,117.981
-22.801,117.943
-22.796,117.987
-22.904,117.978
-22.902,118
-22.907,117.978
-20.837,118.632
-20.848,118.663
-20.834,118.638
-21.792,115.112
-21.796,115.14
-21.799,115.106
-21.215,116.663
-21.218,116.669
-22.816,117.922
-18.588,127.469
-14.471,126.64
-14.312,126.732
-14.216,126.78
-14.205,126.778
-14.337,126.774
-14.308,126.775
-14.311,126.75
-14.211,126.785
-14.221,126.786
-14.233,126.775
-14.242,126.79
-17.422,122.479
-17.417,122.448
-17.402,122.416
-17.394,122.405
-17.404,122.406
-17.392,122.424
-17.393,122.415
-16.892,122.646
-16.894,122.636
-17.602,122.516
-17.601,122.511
-17.785,122.693
-24.559,127.795
-24.684,127.742
-24.566,127.779
-24.604,127.844
-24.596,127.831
-24.595,127.842
-24.585,127.84
-24.573,127.792
-24.563,127.773
-24.533,127.779
-24.669,127.676
-24.666,127.575
-24.664,127.586
-24.68,127.545
-24.667,127.565
-24.677,127.5
-24.638,127.692
-24.651,127.606
-24.666,127.509
-24.665,127.52
-24.649,127.561
-24.638,127.57
-24.626,127.458
-24.591,127.739
-24.622,127.545
-24.601,127.618
-24.587,127.705
-24.585,127.716
-24.592,127.617
-24.59,127.627
-24.584,127.51
-24.61,127.471
-24.561,127.661
-24.586,127.499
-24.589,127.478
-24.561,127.539
-24.533,127.711
-24.534,127.644
-24.533,127.655
-24.544,127.524
-24.528,127.499
-24.674,127.684
-24.705,127.734
-24.675,127.74
-24.676,127.729
-24.646,127.761
-24.636,127.703
-24.702,127.567
-24.656,127.574
-24.662,127.597
-24.661,127.608
-24.683,127.524
-24.682,127.534
-24.685,127.513
-24.676,127.511
-24.669,127.554
-24.653,127.595
-24.668,127.499
-24.645,127.583
-24.644,127.593
-24.647,127.572
-24.657,127.508
-24.639,127.559
-24.638,127.504
-24.65,127.429
-24.642,127.483
-24.648,127.44
-24.637,127.449
-24.625,127.468
-24.621,127.49
-24.623,127.479
-24.603,127.608
-24.593,127.606
